tid,outcome
58983521-3d73-48ba-8b05-85d26a40838a,0
5dcc87b5-97ef-4e96-85ac-47757a94a84d,0
5a0b06e5-4f64-4d05-bd5a-adcb152a1b34,0
690e005e-7c78-4e19-a0ce-dde8ed0bfb2c,0
e0113749-3d03-4aa0-93d3-25f1dc90838f,0
ba2d70ae-e863-4a56-a5c2-30b72633631b,0
3a1eaeec-fd6c-4c5a-93c5-6569999dd130,0
cdd6d814-c4f8-492b-9be9-20f827dcfd65,0
3714b95c-2c56-455e-82f7-4a886cc0761c,0
474b7ab8-262d-43c2-8794-86330861eb7a,0
34dad239-ac4f-4aaf-aeab-5a34c9704212,0
a975fd11-ec59-441d-8414-62f32a48a5c6,0
f0cd8448-5bc3-4d1a-9f7a-731baebbdd82,0
c931db0f-50a2-43e0-b3ae-860889c6e683,0
bcbd2957-3868-4fff-bec4-31e13e6db4d6,0
fc67a549-3e19-475f-8168-5a0508af7131,0
8202ce12-a565-4b23-b4cc-05db1396b980,0
6930c203-9fc0-47e4-86a9-2f9182aea02f,0
9615c27e-6e46-4ea8-b25c-d3ce27e075a7,0
53da01bf-32be-48bf-b5a0-15df1f100739,0
6ede58bc-93df-4382-b682-0817012c8774,0
54aec117-050f-4423-8b0c-c4180274c89b,0
83456be1-58fc-4d88-8c4b-8950d40619e8,0
02d308d1-f6ca-4618-b590-4ebd75aa058a,0
957d060f-efc9-478d-9287-5939f9be29c5,0
6945c7d7-2ed9-4475-b915-ad3c29e43a89,0
91bdd28c-4094-4f66-b2f3-64560d9219b4,0
7d9ed76a-f1ee-4ae0-bd1d-065dbe5451cc,0
75bfc555-ea6f-4473-8aa8-727ec53fff52,0
223c1dee-e17b-4df9-afc1-302b8679c89c,0
209d681e-854a-461b-a533-b9169e7e544d,0
438da273-ceaa-4731-9112-49da53dc3761,0
f3b9c5d5-edfc-4dc6-ad06-4b74e6a88afb,0
ea7cacdc-b7d1-47ad-a728-015b56408d83,0
d24510cb-a26d-4daa-b5a4-de8a380d2f66,0
ad2ae483-7ac1-4b64-829c-9f2e00d1c6ed,0
e617f957-09d1-4149-b357-3c1445405afa,0
72ed0f0d-85d5-4de1-92b8-c2c4ff861e1c,0
dfc12801-c64a-4d0a-95e8-dff935f12c8b,0
5a94b09e-1a5a-43ef-8f0e-b5eec83d1df9,0
874e757f-c349-4e78-af3c-82e8c0ddae99,0
359ecb20-0ff1-4e2c-b87f-2cec30d94ef2,0
f857a689-9122-469e-8897-6ca0616ad0fd,0
f49a60e9-197e-4fb4-8d37-c5775f88c3bb,0
ee2b7290-2654-4b2e-bb6f-4ae38b9f1bcf,0
da068857-0639-44ea-ae5c-eec67f0adae2,0
0ca8d834-8d3e-4ea0-ae8a-bce0e2336d68,0
67237605-32a5-4991-a424-a0fe4abadcf0,0
c08aaf95-8e11-4024-974c-8d4b039c0b76,0
8ae22e40-83ae-48f0-ba0f-2dbb6235ae35,0
22ceb07f-18f7-4648-b08d-8cf7a5815543,0
4e0e54e3-8f04-422f-935f-abe222eef728,0
05e240d9-9ce3-4b2e-9f03-0e68195cd917,0
979097c5-11a0-41dd-b33e-4e4a82eb2faf,0
601d7d64-35eb-45af-a94a-6df7adf747dc,0
d278b722-fdfe-4dd7-8f02-a1ee066176d8,0
d2fc65d3-9568-46fe-ad90-9d099ded215c,0
87ae3560-e80b-4a99-bcb9-5c44c73b7bc7,0
033d9e81-5c9d-4e25-9ae2-bfa4d635277f,0
5b627acf-c41a-45a9-a682-b75b86976737,0
91e76668-45f3-4eeb-8a1e-3de7be569c8d,0
55074cc4-4179-4aab-addc-b3f3c126c73f,0
9829e865-d835-452d-ba0b-4514f7eca4e8,0
90351109-9ac3-4ea1-a4ca-d95a7944fbb4,0
61372bf1-b5c2-43ca-a224-e57e56298471,0
99d97485-03c6-40c1-a1cf-6ce198650c4a,0
d892835b-42c6-4445-a336-f19d9632e6a1,0
63039d1b-1c9e-404f-92bf-c59c131908a1,0
f7e3adc6-250b-4864-b9ed-1343b6b10427,0
59b1be9a-0fee-4810-a5a6-484f338afab9,0
8cea9a4d-455a-4a39-b8fe-9a7c23809e40,0
386c281f-cf01-49d6-bdb6-5e7ffc5727c3,0
eef6ae00-e455-49e9-951f-0a674db71719,0
c4033967-0479-45f4-b906-6e2056c32fdf,0
49c3ba9b-8e92-4aa6-9f42-73669e552941,0
218dc025-84f7-4b00-974b-62fa4322ba50,0
743ac51e-67c8-441b-91ce-64a708cc4687,0
c6755f36-3b71-49a2-b7ba-0f1a0f81f4df,0
f4d66108-e051-493d-bcff-88a02fb5fc44,0
8f8fc617-73f4-4386-92f0-24833f06a569,0
f3670eea-4a80-4895-ab17-e49971c99d60,0
518b1dac-d8b1-4a42-a353-34193697724e,0
f461d26e-fb3b-44c7-9f83-cec836235ba3,0
545d42d3-40b8-4f6f-a501-dab616d4dbf3,0
e6a3c1fc-dd43-4890-adfb-8a99420398ce,0
0924c02d-4f85-43a1-ac52-33a7969dafd3,0
cf907caf-5393-4f9b-9d94-6abc86b4e07c,0
1f1080d2-8acb-45d0-8ba7-084c2709f6a8,0
f6186eba-c508-4c40-9524-90b0c82d4ebc,0
75a51dcb-a371-477f-99b1-c7f438018e3e,0
a5078a8c-1f10-4561-8ca4-328d1b808266,0
83c34d73-e7a2-4680-83bd-989fd3dab735,0
407206d0-2ae8-4608-a899-15e7d887aa27,0
67f1cf3d-6ec1-4376-b641-7e5142bb734e,0
b66c22e9-06c5-4cb6-98b6-192ece9b60a9,0
